"Genus","crc_pos","crc_neg","other_pos","other_neg","p_value"
"Blautia",126,63,39,1819,2.50455468940232e-116
"Alistipes",134,55,61,1797,2.99224193481784e-115
"Collinsella",88,101,21,1837,7.6146367299779e-80
"Bacteroides",174,15,470,1388,3.94188945515888e-76
"Coprococcus",80,109,16,1842,5.83292618658365e-74
"Anaerostipes",77,112,18,1840,4.74930640528924e-69
"Akkermansia",74,115,23,1835,1.79668886626173e-62
"Butyricimonas",63,126,13,1845,9.30148521463028e-57
"Anaerobutyricum",56,133,8,1850,7.10639615968592e-53
"Anaerotruncus",51,138,5,1853,5.03892869615282e-50
"Coprobacter",43,146,6,1852,2.54034770896608e-40
"Clostridioides",47,142,25,1833,1.9140932482912e-33
"Bifidobacterium",70,119,129,1729,9.54489539004064e-28
"Citrobacter",74,115,207,1651,1.85284609697179e-20
"Butyrivibrio",30,159,28,1830,3.09104773155799e-17
"Barnesiella",21,168,13,1845,2.07519854563982e-14
"Clostridium",75,114,295,1563,2.38309734413614e-13
"Carjivirus",13,176,1,1857,3.10803157744211e-13
"Candidatus.Pelagisphaera",1,188,278,1580,1.59375923332322e-11
"Adlercreutzia",14,175,6,1852,4.89784148688527e-11
"Cenphatecvirus",33,156,725,1133,1.11702752723457e-09
"Alicycliphilus",28,161,63,1795,2.12583171264517e-09
"Cutibacterium",176,13,1414,444,4.14419635656124e-09
"Aeromonas",68,121,340,1518,5.54690741822412e-08
"Acidaminococcus",11,178,7,1851,5.63150636734815e-08
"Christensenella",10,179,5,1853,7.15638059945724e-08
"Catenibacterium",12,177,10,1848,7.77422970380667e-08
"Cohnella",59,130,926,932,8.62283563603737e-07
"Amedibacterium",5,184,0,1858,6.39263473311098e-06
"Anaerotignum",6,183,2,1856,1.37464028340579e-05
"Cloacibacterium",12,177,21,1837,1.70179239530288e-05
"Afonbuvirus",4,185,0,1858,7.05954203229499e-05
"Cohcovirus",4,185,0,1858,7.05954203229499e-05
"Alcaligenes",0,189,91,1767,0.000257612421959145
"Cloacibacillus",5,184,3,1855,0.000283380364356699
"Aurodevirus",3,186,0,1858,0.000775790533011342
"Alphatrevirus",4,185,2,1856,0.000911268329775013
"Anaerococcus",14,175,49,1809,0.00129101802254913
"Agrobacterium",4,185,149,1709,0.00130055859173117
"Aminobacter",0,189,68,1790,0.00216724296703209
"Betapartitivirus",15,174,58,1800,0.00277160505854314
"Cruoricaptor",6,183,11,1847,0.00297709762690503
"Anaerocolumna",7,182,17,1841,0.00454281331854601
"Blattabacterium",7,182,173,1685,0.0067112472895038
"Brigitvirus",2,187,0,1858,0.0084839125134128
"Canhaevirus",2,187,0,1858,0.0084839125134128
"Actinomyces",19,170,320,1538,0.010082404017799
"Bordetella",22,167,119,1739,0.0101260262962322
"Candidatus.Carsonella",63,126,800,1058,0.010629184167634
"Candidatus.Annandia",1,188,68,1790,0.017888294674754
"Amycolatopsis",0,189,45,1813,0.0185486154502332
"Capnocytophaga",6,183,147,1711,0.0189530792176558
"Aureimonas",0,189,49,1809,0.0200414721463456
"Aquibium",0,189,42,1816,0.0285468881702045
"Ancylobacter",0,189,44,1814,0.0298964833124319
"Chordicoccus",4,185,11,1847,0.0426892265028087
"Croceicoccus",0,189,40,1818,0.046400528350318
"Caproicibacterium",3,186,7,1851,0.0571644831255217
"Achromobacter",36,153,261,1597,0.0658233441786611
"Collimonas",0,189,34,1824,0.068081756214116
"Aminithiophilus",2,187,3,1855,0.070356675239813
"Alternavirus",1,188,0,1858,0.0923302393746947
"Buchavirus",1,188,0,1858,0.0923302393746947
"Burzaovirus",1,188,0,1858,0.0923302393746947
"Desemzia",1,188,0,1858,0.0923302393746947
