"Genus","crc_pos","crc_neg","other_pos","other_neg"
"Aalivirus",0,189,0,1858
"Abidjanvirus",0,189,0,1858
"Abyssalbus",0,189,2,1856
"Abyssibius",0,189,0,1858
"Abyssicoccus",0,189,0,1858
"Acadianvirus",0,189,0,1858
"Acaricomes",0,189,0,1858
"Acaryochloris",0,189,0,1858
"Aceticella",0,189,0,1858
"Acetilactobacillus",0,189,0,1858
"Acetivibrio",0,189,8,1850
"Acetoanaerobium",0,189,4,1854
"Acetobacter",0,189,18,1840
"Acetobacterium",0,189,4,1854
"Acetohalobium",0,189,0,1858
"Acetomicrobium",0,189,2,1856
"Acetonema",0,189,0,1858
"Acholeplasma",0,189,2,1856
"Achromobacter",36,153,261,1597
"Acidaminococcus",11,178,7,1851
"Acidianus",0,189,0,1858
"Acidibacillus",0,189,0,1858
"Acidibrevibacterium",0,189,1,1857
"Acididesulfobacillus",0,189,0,1858
"Acidiferrobacter",0,189,9,1849
"Acidihalobacter",0,189,1,1857
"Acidilobus",0,189,0,1858
"Acidilutibacter",0,189,3,1855
"Acidimicrobium",0,189,0,1858
"Acidiphilium",0,189,14,1844
"Acidiplasma",0,189,0,1858
"Acidipropionibacterium",0,189,4,1854
"Acidisarcina",0,189,0,1858
"Acidisoma",0,189,3,1855
"Acidithiobacillus",0,189,16,1842
"Acidithrix",0,189,0,1858
"Acidobacterium",0,189,0,1858
"Acidocella",0,189,2,1856
"Acidothermus",0,189,21,1837
"Aciduliprofundum",0,189,0,1858
"Actibacterium",0,189,1,1857
"Actinacidiphila",0,189,0,1858
"Actinoalloteichus",0,189,6,1852
"Actinobacillus",1,188,12,1846
"Actinobaculum",0,189,0,1858
"Actinocatenispora",0,189,17,1841
"Actinokineospora",0,189,1,1857
"Actinomadura",7,182,35,1823
"Actinomarinicola",0,189,2,1856
"Actinomyces",19,170,320,1538
"Actinomycetospora",0,189,0,1858
"Actinoplanes",0,189,30,1828
"Actinopolymorpha",0,189,0,1858
"Actinopolyspora",0,189,2,1856
"Actinospica",0,189,0,1858
"Actinosynnema",0,189,10,1848
"Actinotalea",0,189,0,1858
"Actinotignum",2,187,19,1839
"Actinovirus",0,189,0,1858
"Acuticoccus",0,189,3,1855
"Adhaeretor",0,189,0,1858
"Adhaeribacter",0,189,3,1855
"Adlercreutzia",14,175,6,1852
"Advenella",0,189,2,1856
"Aegicerativicinus",0,189,0,1858
"Aeoliella",0,189,0,1858
"Aequoribacter",0,189,2,1856
"Aequorivita",0,189,2,1856
"Aeribacillus",0,189,0,1858
"Aerococcus",1,188,16,1842
"Aeromonas",68,121,340,1518
"Aeropyrum",0,189,0,1858
"Aerosticca",0,189,5,1853
"Aestuariibacter",0,189,0,1858
"Aestuariimicrobium",0,189,0,1858
"Aestuariispira",0,189,2,1856
"Aestuariivita",0,189,0,1858
"Afifella",0,189,0,1858
"Afonbuvirus",4,185,0,1858
"Agarilytica",0,189,0,1858
"Agarivorans",0,189,0,1858
"Ageyesisatellite",0,189,0,1858
"Aggregatibacter",11,178,93,1765
"Aggregatimonas",0,189,1,1857
"Agreia",0,189,0,1858
"Agricanvirus",0,189,0,1858
"Agrobacterium",4,185,149,1709
"Agrococcus",0,189,5,1853
"Agromyces",0,189,24,1834
"Agtrevirus",0,189,0,1858
"Ahjdlikevirus",0,189,0,1858
"Ahniella",0,189,0,1858
"Ahrensia",0,189,0,1858
"Ahtivirus",0,189,0,1858
"Akkermansia",74,115,23,1835
"Alcaligenes",0,189,91,1767
"Alcanivorax",0,189,0,1858
"Alcyoneusvirus",0,189,0,1858
"Alexandravirus",0,189,0,1858
"Alfamovirus",0,189,0,1858
"Algibacter",0,189,0,1858
"Algicella",0,189,0,1858
"Algicola",0,189,0,1858
"Algiphilus",0,189,0,1858
"Algoriphagus",0,189,3,1855
"Aliagarivorans",0,189,0,1858
"Aliamphritea",0,189,0,1858
"Aliarcobacter",1,188,7,1851
"Alicycliphilus",28,161,63,1795
"Alicyclobacillus",0,189,7,1851
"Aliiglaciecola",0,189,0,1858
"Aliihoeflea",0,189,0,1858
"Aliiroseovarius",0,189,1,1857
"Aliivibrio",0,189,0,1858
"Alishewanella",0,189,0,1858
"Alistipes",134,55,61,1797
"Aliterella",0,189,0,1858
"Alkalibacter",0,189,3,1855
"Alkalibacterium",0,189,0,1858
"Alkalicella",0,189,2,1856
"Alkaliflexus",0,189,4,1854
"Alkalihalobacillus",0,189,0,1858
"Alkalihalophilus",0,189,0,1858
"Alkalilimnicola",0,189,1,1857
"Alkalimarinus",0,189,0,1858
"Alkaliphilus",0,189,2,1856
"Alkalitalea",0,189,0,1858
"Alkanindiges",0,189,0,1858
"Allexivirus",0,189,0,1858
"Alloacidobacterium",0,189,3,1855
"Alloactinosynnema",0,189,1,1857
"Alloalcanivorax",0,189,5,1853
"Allobacillus",0,189,1,1857
"Allobaculum",0,189,0,1858
"Allobranchiibius",0,189,23,1835
"Allochromatium",0,189,3,1855
"Allocoleopsis",0,189,2,1856
"Allofrancisella",0,189,0,1858
"Allofustis",0,189,0,1858
"Alloiococcus",0,189,0,1858
"Allokutzneria",0,189,0,1858
"Allolevivirus",0,189,0,1858
"Allomeiothermus",0,189,0,1858
"Alloprevotella",0,189,0,1858
"Allorhizobium",0,189,1,1857
"Allosaccharopolyspora",0,189,0,1858
"Allosalinactinospora",0,189,0,1858
"Alloscardovia",0,189,0,1858
"Alphabaculovirus",0,189,1,1857
"Alphachrysovirus",0,189,0,1858
"Alphacoronavirus",0,189,0,1858
"Alphadrosrhavirus",0,189,0,1858
"Alphaendornavirus",0,189,0,1858
"Alphaentomopoxvirus",0,189,0,1858
"Alphafusarivirus",0,189,0,1858
"Alphafusellovirus",0,189,0,1858
"Alphahypovirus",0,189,0,1858
"Alphamesonivirus",0,189,0,1858
"Alphamononivirus",0,189,0,1858
"Alphanemrhavirus",0,189,0,1858
"Alphanudivirus",0,189,0,1858
"Alphapapillomavirus",0,189,13,1845
"Alphapartitivirus",0,189,6,1852
"Alphapolyomavirus",0,189,0,1858
"Alphaportoglobovirus",0,189,0,1858
"Alpharetrovirus",0,189,0,1858
"Alphasphaerolipovirus",0,189,0,1858
"Alphatorquevirus",1,188,1,1857
"Alphatrevirus",4,185,2,1856
