"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,137,0,1910,1,1
"Abidjanvirus",0,137,0,1910,1,1
"Abyssalbus",0,137,2,1908,1,1
"Abyssibius",0,137,0,1910,1,1
"Abyssicoccus",0,137,0,1910,1,1
"Acadianvirus",0,137,0,1910,1,1
"Acaricomes",0,137,0,1910,1,1
"Acaryochloris",0,137,0,1910,1,1
"Aceticella",0,137,0,1910,1,1
"Acetilactobacillus",0,137,0,1910,1,1
"Acetivibrio",0,137,8,1902,1,1
"Acetoanaerobium",0,137,4,1906,1,1
"Acetobacter",0,137,18,1892,0.627625674233752,1
"Acetobacterium",0,137,4,1906,1,1
"Acetohalobium",0,137,0,1910,1,1
"Acetomicrobium",0,137,2,1908,1,1
"Acetonema",0,137,0,1910,1,1
"Acholeplasma",0,137,2,1908,1,1
"Achromobacter",16,121,281,1629,0.380308305578108,1
"Acidaminococcus",0,137,18,1892,0.627625674233752,1
"Acidianus",0,137,0,1910,1,1
"Acidibacillus",0,137,0,1910,1,1
"Acidibrevibacterium",0,137,1,1909,1,1
"Acididesulfobacillus",0,137,0,1910,1,1
"Acidiferrobacter",0,137,9,1901,1,1
"Acidihalobacter",0,137,1,1909,1,1
"Acidilobus",0,137,0,1910,1,1
"Acidilutibacter",0,137,3,1907,1,1
"Acidimicrobium",0,137,0,1910,1,1
"Acidiphilium",0,137,14,1896,0.617873240753889,1
"Acidiplasma",0,137,0,1910,1,1
"Acidipropionibacterium",0,137,4,1906,1,1
"Acidisarcina",0,137,0,1910,1,1
"Acidisoma",0,137,3,1907,1,1
"Acidithiobacillus",1,136,15,1895,1,1
"Acidithrix",0,137,0,1910,1,1
"Acidobacterium",0,137,0,1910,1,1
"Acidocella",0,137,2,1908,1,1
"Acidothermus",0,137,21,1889,0.393526975319201,1
"Aciduliprofundum",0,137,0,1910,1,1
"Actibacterium",0,137,1,1909,1,1
"Actinacidiphila",0,137,0,1910,1,1
"Actinoalloteichus",0,137,6,1904,1,1
"Actinobacillus",0,137,13,1897,1,1
"Actinobaculum",0,137,0,1910,1,1
"Actinocatenispora",0,137,17,1893,0.623060014601865,1
"Actinokineospora",0,137,1,1909,1,1
"Actinomadura",1,136,41,1869,0.360993021649475,1
"Actinomarinicola",0,137,2,1908,1,1
"Actinomyces",5,132,334,1576,2.22217502598204e-06,0.000368140329304358
"Actinomycetospora",0,137,0,1910,1,1
"Actinoplanes",0,137,30,1880,0.259710268413395,1
"Actinopolymorpha",0,137,0,1910,1,1
"Actinopolyspora",0,137,2,1908,1,1
"Actinospica",0,137,0,1910,1,1
"Actinosynnema",0,137,10,1900,1,1
"Actinotalea",0,137,0,1910,1,1
"Actinotignum",0,137,21,1889,0.393526975319201,1
"Actinovirus",0,137,0,1910,1,1
"Acuticoccus",0,137,3,1907,1,1
"Adhaeretor",0,137,0,1910,1,1
"Adhaeribacter",0,137,3,1907,1,1
"Adlercreutzia",0,137,20,1890,0.639870275511424,1
"Advenella",1,136,1,1909,0.129405691565895,1
"Aegicerativicinus",0,137,0,1910,1,1
"Aeoliella",0,137,0,1910,1,1
"Aequoribacter",2,135,0,1910,0.00444872953816017,0.209950530750836
"Aequorivita",0,137,2,1908,1,1
"Aeribacillus",0,137,0,1910,1,1
"Aerococcus",1,136,16,1894,1,1
"Aeromonas",11,126,397,1513,0.000139354407685587,0.011627013146489
"Aeropyrum",0,137,0,1910,1,1
"Aerosticca",0,137,5,1905,1,1
"Aestuariibacter",0,137,0,1910,1,1
"Aestuariimicrobium",0,137,0,1910,1,1
"Aestuariispira",0,137,2,1908,1,1
"Aestuariivita",0,137,0,1910,1,1
"Afifella",0,137,0,1910,1,1
"Afonbuvirus",0,137,4,1906,1,1
"Agarilytica",0,137,0,1910,1,1
"Agarivorans",0,137,0,1910,1,1
"Ageyesisatellite",0,137,0,1910,1,1
"Aggregatibacter",0,137,104,1806,0.000973991787383026,0.0605092397911705
"Aggregatimonas",0,137,1,1909,1,1
"Agreia",0,137,0,1910,1,1
"Agricanvirus",0,137,0,1910,1,1
"Agrobacterium",11,126,142,1768,0.737604521888369,1
"Agrococcus",0,137,5,1905,1,1
"Agromyces",1,136,23,1887,1,1
"Agtrevirus",0,137,0,1910,1,1
"Ahjdlikevirus",0,137,0,1910,1,1
"Ahniella",0,137,0,1910,1,1
"Ahrensia",0,137,0,1910,1,1
"Ahtivirus",0,137,0,1910,1,1
"Akkermansia",1,136,96,1814,0.0192425020164156,0.631755474920971
"Alcaligenes",8,129,83,1827,0.389330507762321,1
"Alcanivorax",0,137,0,1910,1,1
"Alcyoneusvirus",0,137,0,1910,1,1
"Alexandravirus",0,137,0,1910,1,1
"Alfamovirus",0,137,0,1910,1,1
"Algibacter",0,137,0,1910,1,1
"Algicella",0,137,0,1910,1,1
"Algicola",0,137,0,1910,1,1
"Algiphilus",0,137,0,1910,1,1
"Algoriphagus",0,137,3,1907,1,1
"Aliagarivorans",0,137,0,1910,1,1
"Aliamphritea",0,137,0,1910,1,1
"Aliarcobacter",1,136,7,1903,0.426019662437115,1
"Alicycliphilus",2,135,89,1821,0.0857532845050867,1
"Alicyclobacillus",0,137,7,1903,1,1
"Aliiglaciecola",0,137,0,1910,1,1
"Aliihoeflea",0,137,0,1910,1,1
"Aliiroseovarius",0,137,1,1909,1,1
"Aliivibrio",0,137,0,1910,1,1
"Alishewanella",0,137,0,1910,1,1
"Alistipes",0,137,195,1715,1.17360746626216e-06,0.000283607485308657
"Aliterella",0,137,0,1910,1,1
"Alkalibacter",0,137,3,1907,1,1
"Alkalibacterium",0,137,0,1910,1,1
"Alkalicella",0,137,2,1908,1,1
"Alkaliflexus",0,137,4,1906,1,1
"Alkalihalobacillus",0,137,0,1910,1,1
"Alkalihalophilus",0,137,0,1910,1,1
"Alkalilimnicola",1,136,0,1910,0.0669272105520274,1
"Alkalimarinus",0,137,0,1910,1,1
"Alkaliphilus",0,137,2,1908,1,1
"Alkalitalea",0,137,0,1910,1,1
"Alkanindiges",0,137,0,1910,1,1
"Allexivirus",0,137,0,1910,1,1
"Alloacidobacterium",0,137,3,1907,1,1
"Alloactinosynnema",0,137,1,1909,1,1
"Alloalcanivorax",1,136,4,1906,0.292990559448121,1
"Allobacillus",0,137,1,1909,1,1
"Allobaculum",0,137,0,1910,1,1
"Allobranchiibius",0,137,23,1887,0.397508952715717,1
"Allochromatium",1,136,2,1908,0.187729124453656,1
"Allocoleopsis",0,137,2,1908,1,1
"Allofrancisella",0,137,0,1910,1,1
"Allofustis",0,137,0,1910,1,1
"Alloiococcus",0,137,0,1910,1,1
"Allokutzneria",0,137,0,1910,1,1
"Allolevivirus",0,137,0,1910,1,1
"Allomeiothermus",0,137,0,1910,1,1
"Alloprevotella",0,137,0,1910,1,1
"Allorhizobium",0,137,1,1909,1,1
"Allosaccharopolyspora",0,137,0,1910,1,1
"Allosalinactinospora",0,137,0,1910,1,1
"Alloscardovia",0,137,0,1910,1,1
"Alphabaculovirus",0,137,1,1909,1,1
"Alphachrysovirus",0,137,0,1910,1,1
"Alphacoronavirus",0,137,0,1910,1,1
"Alphadrosrhavirus",0,137,0,1910,1,1
"Alphaendornavirus",0,137,0,1910,1,1
"Alphaentomopoxvirus",0,137,0,1910,1,1
"Alphafusarivirus",0,137,0,1910,1,1
"Alphafusellovirus",0,137,0,1910,1,1
"Alphahypovirus",0,137,0,1910,1,1
"Alphamesonivirus",0,137,0,1910,1,1
"Alphamononivirus",0,137,0,1910,1,1
"Alphanemrhavirus",0,137,0,1910,1,1
"Alphanudivirus",0,137,0,1910,1,1
"Alphapapillomavirus",0,137,13,1897,1,1
"Alphapartitivirus",1,136,5,1905,0.340424591453805,1
"Alphapolyomavirus",0,137,0,1910,1,1
"Alphaportoglobovirus",0,137,0,1910,1,1
"Alpharetrovirus",0,137,0,1910,1,1
"Alphasphaerolipovirus",0,137,0,1910,1,1
"Alphatorquevirus",0,137,2,1908,1,1
"Alphatrevirus",0,137,6,1904,1,1
"Alphaturrivirus",0,137,0,1910,1,1
"Alphavirus",0,137,0,1910,1,1
"Alteracholeplasma",0,137,2,1908,1,1
"Altererythrobacter",0,137,23,1887,0.397508952715717,1
"Alternavirus",0,137,1,1909,1,1
"Alteromonas",1,136,17,1893,1,1
"Altibacter",0,137,0,1910,1,1
"Alysiella",0,137,3,1907,1,1
"Amantichitinum",0,137,0,1910,1,1
"Ambidensovirus",0,137,0,1910,1,1
"Amdoparvovirus",0,137,0,1910,1,1
"Amedibacterium",0,137,5,1905,1,1
"Amigovirus",0,137,0,1910,1,1
"Aminiphilus",0,137,0,1910,1,1
"Aminipila",0,137,11,1899,1,1
"Aminithiophilus",0,137,5,1905,1,1
"Aminobacter",0,137,68,1842,0.0128285130746297,0.472279333191924
"Aminobacterium",0,137,3,1907,1,1
"Aminomonas",0,137,0,1910,1,1
"Ammonifex",0,137,0,1910,1,1
"Amniculibacterium",0,137,2,1908,1,1
"Amorphus",0,137,0,1910,1,1
"Amoyvirus",0,137,0,1910,1,1
"Ampelovirus",0,137,0,1910,1,1
"Amphibacillus",0,137,1,1909,1,1
"Amphritea",0,137,0,1910,1,1
"Ampullavirus",0,137,0,1910,1,1
"Amycolatopsis",1,136,44,1866,0.362728545235546,1
"Amycolicicoccus",0,137,0,1910,1,1
"Amylibacter",0,137,2,1908,1,1
"Amylolactobacillus",0,137,0,1910,1,1
"Anabaena",0,137,6,1904,1,1
"Anaeroarcus",0,137,0,1910,1,1
"Anaerobacillus",0,137,0,1910,1,1
"Anaerobaculum",0,137,0,1910,1,1
"Anaerobutyricum",0,137,64,1846,0.0197026355357647,0.631755474920971
"Anaerococcus",0,137,63,1847,0.0196030598765746,0.631755474920971
"Anaerocolumna",0,137,24,1886,0.401633091990353,1
"Anaerofustis",0,137,0,1910,1,1
"Anaerohalosphaera",0,137,0,1910,1,1
"Anaerolinea",0,137,1,1909,1,1
"Anaeromicropila",0,137,9,1901,1,1
"Anaeromusa",0,137,0,1910,1,1
"Anaeromyxobacter",1,136,37,1873,0.512125833391276,1
"Anaeropeptidivorans",0,137,2,1908,1,1
"Anaerophaga",0,137,0,1910,1,1
"Anaerosalibacter",0,137,0,1910,1,1
"Anaerosporomusa",0,137,0,1910,1,1
"Anaerostipes",0,137,95,1815,0.0023738401203101,0.134280879051022
"Anaerotignum",0,137,8,1902,1,1
"Anaerotruncus",0,137,56,1854,0.0300552721133486,0.864917469883303
"Anaerovibrio",0,137,0,1910,1,1
"Anaerovorax",0,137,0,1910,1,1
"Anaplasma",0,137,0,1910,1,1
"Anaposvirus",0,137,0,1910,1,1
"Anatilimnocola",0,137,0,1910,1,1
"Anativirus",0,137,0,1910,1,1
"Anayavirus",0,137,0,1910,1,1
"Ancylobacter",1,136,43,1867,0.361350650908371,1
"Andhravirus",0,137,1,1909,1,1
"Anditalea",0,137,0,1910,1,1
"Andreprevotia",0,137,0,1910,1,1
"Andromedalikevirus",0,137,0,1910,1,1
"Andromedavirus",0,137,0,1910,1,1
"Aneurinibacillus",0,137,2,1908,1,1
"Angelvirus",0,137,0,1910,1,1
"Angustibacter",0,137,0,1910,1,1
"Annadreamyvirus",0,137,0,1910,1,1
"Anoxybacillus",0,137,3,1907,1,1
"Anoxybacter",0,137,0,1910,1,1
"Anphevirus",0,137,0,1910,1,1
"Anseongella",0,137,3,1907,1,1
"Antarcticibacterium",0,137,1,1909,1,1
"Antarctobacter",0,137,11,1899,1,1
"Antennavirus",0,137,0,1910,1,1
"Anthocerotibacter",0,137,1,1909,1,1
"Anulavirus",0,137,0,1910,1,1
"Aokuangvirus",0,137,0,1910,1,1
"Aparavirus",0,137,0,1910,1,1
"Aphanizomenon",0,137,0,1910,1,1
"Aphanocapsa",0,137,0,1910,1,1
"Aphthovirus",0,137,0,1910,1,1
"Apibacter",0,137,2,1908,1,1
"Apilactobacillus",0,137,2,1908,1,1
"Apscaviroid",0,137,0,1910,1,1
"Aptresvirus",0,137,0,1910,1,1
"Aqualcavirus",0,137,0,1910,1,1
"Aquamavirus",0,137,0,1910,1,1
"Aquamicrobium",0,137,0,1910,1,1
"Aquaparamyxovirus",0,137,0,1910,1,1
"Aquareovirus",0,137,0,1910,1,1
"Aquaspirillum",1,136,2,1908,0.187729124453656,1
"Aquella",0,137,0,1910,1,1
"Aquibium",1,136,41,1869,0.360993021649475,1
"Aquicella",0,137,0,1910,1,1
"Aquifex",0,137,0,1910,1,1
"Aquihabitans",0,137,6,1904,1,1
"Aquiluna",0,137,0,1910,1,1
"Aquimarina",0,137,1,1909,1,1
"Aquincola",4,133,47,1863,0.773070367478788,1
"Aquirhabdus",0,137,1,1909,1,1
"Aquirufa",0,137,0,1910,1,1
"Aquisalimonas",1,136,1,1909,0.129405691565895,1
"Aquisediminimonas",0,137,11,1899,1,1
"Aquisphaera",0,137,9,1901,1,1
"Aquitalea",1,136,12,1898,0.594762341863092,1
"Arachidicoccus",0,137,1,1909,1,1
"Arachnia",0,137,28,1882,0.254624563371068,1
"Arcanobacterium",0,137,4,1906,1,1
"Archaeoglobus",0,137,0,1910,1,1
"Archangium",0,137,23,1887,0.397508952715717,1
"Arcobacter",0,137,6,1904,1,1
"Arcticibacter",0,137,0,1910,1,1
"Arcticibacterium",0,137,0,1910,1,1
"Ardenticatena",0,137,0,1910,1,1
"Arenavirus",0,137,0,1910,1,1
"Arenibacter",0,137,0,1910,1,1
"Arenimonas",0,137,0,1910,1,1
"Arenitalea",0,137,0,1910,1,1
"Arepavirus",0,137,0,1910,1,1
"Aresaunavirus",0,137,0,1910,1,1
"Arhodomonas",0,137,0,1910,1,1
"Aristophania",0,137,0,1910,1,1
"Aromatoleum",1,136,27,1883,1,1
"Arsenicicoccus",0,137,2,1908,1,1
"Arsenophonus",0,137,0,1910,1,1
"Arsukibacterium",0,137,0,1910,1,1
"Arterivirus",0,137,0,1910,1,1
"Arthrospira",0,137,0,1910,1,1
"Asaia",0,137,0,1910,1,1
"Asanoa",0,137,0,1910,1,1
"Ascovirus",0,137,0,1910,1,1
"Asfivirus",0,137,0,1910,1,1
"Asteriusvirus",0,137,0,1910,1,1
"Atadenovirus",0,137,0,1910,1,1
"Athalassotoga",0,137,0,1910,1,1
"Atlantibacter",0,137,0,1910,1,1
"Atopobium",0,137,3,1907,1,1
"Atribacter",0,137,0,1910,1,1
"Attisvirus",0,137,0,1910,1,1
"Audreyjarvisvirus",0,137,0,1910,1,1
"Aurantiacibacter",0,137,19,1891,0.633284393657669,1
"Aurantimicrobium",0,137,0,1910,1,1
"Aureibaculum",0,137,0,1910,1,1
"Aureimonas",1,136,48,1862,0.253151129678017,1
"Aureispira",0,137,0,1910,1,1
"Aureliella",0,137,1,1909,1,1
"Auritidibacter",0,137,0,1910,1,1
"Aurivirus",0,137,0,1910,1,1
"Aurodevirus",0,137,3,1907,1,1
"Aurunvirus",0,137,0,1910,1,1
"Austintatiousvirus",0,137,0,1910,1,1
"Austwickia",0,137,0,1910,1,1
"Avastrovirus",0,137,0,1910,1,1
"Aveparvovirus",0,137,0,1910,1,1
"Aviadenovirus",0,137,0,1910,1,1
"Avibacterium",0,137,4,1906,1,1
"Avihepadnavirus",0,137,0,1910,1,1
"Avihepatovirus",0,137,0,1910,1,1
"Avipoxvirus",0,137,0,1910,1,1
"Avocadovirus",0,137,0,1910,1,1
"Avulavirus",0,137,0,1910,1,1
"Avunavirus",0,137,0,1910,1,1
"Azohydromonas",0,137,0,1910,1,1
"Azonexus",0,137,0,1910,1,1
"Azorhizobium",0,137,15,1895,0.617967221757147,1
"Azorudivirus",0,137,0,1910,1,1
"Azospirillum",1,136,49,1861,0.253330330447336,1
"Azotobacter",7,130,27,1883,0.00601821364269981,0.260091493949722
"Azovibrio",0,137,0,1910,1,1
"Babuvirus",0,137,0,1910,1,1
"Bacilladnavirus",0,137,0,1910,1,1
"Bacillarnavirus",0,137,0,1910,1,1
"Backyardiganvirus",0,137,0,1910,1,1
"Bacterioplanes",0,137,0,1910,1,1
"Bacterioplanoides",0,137,0,1910,1,1
"Bacteriovorax",0,137,0,1910,1,1
"Bacteroides",14,123,630,1280,2.83465549718399e-09,2.81764756420088e-06
"Badnavirus",0,137,0,1910,1,1
"Baekduia",0,137,5,1905,1,1
"Bafinivirus",0,137,0,1910,1,1
"Baikalvirus",0,137,0,1910,1,1
"Balneatrix",0,137,0,1910,1,1
"Balneola",0,137,0,1910,1,1
"Baltivirus",0,137,0,1910,1,1
"Banmivirus",0,137,0,1910,1,1
"Baoshanvirus",0,137,0,1910,1,1
"Barbavirus",0,137,0,1910,1,1
"Barnavirus",0,137,0,1910,1,1
"Barnesiella",0,137,34,1876,0.165338849479269,1
"Barnyardlikevirus",0,137,0,1910,1,1
"Barrientosiimonas",0,137,3,1907,1,1
"Bartonella",1,136,107,1803,0.00862815319699289,0.335642696721463
"Basfia",0,137,2,1908,1,1
"Basilea",0,137,0,1910,1,1
"Bastillevirus",0,137,0,1910,1,1
"Batrachovirus",0,137,0,1910,1,1
"Batravirus",0,137,0,1910,1,1
"Bcep22likevirus",0,137,0,1910,1,1
"Bcep78likevirus",0,137,0,1910,1,1
"Bdellomicrovirus",0,137,0,1910,1,1
"Bdellovibrio",2,135,14,1896,0.291062306973937,1
"Beecentumtrevirus",0,137,0,1910,1,1
"Beggiatoa",0,137,0,1910,1,1
"Begomovirus",0,137,0,1910,1,1
"Belliella",0,137,0,1910,1,1
"Bellilinea",0,137,0,1910,1,1
"Belnapia",0,137,0,1910,1,1
"Bendigovirus",0,137,0,1910,1,1
"Benyvirus",0,137,0,1910,1,1
"Beograduvirus",0,137,0,1910,1,1
"Bequatrovirus",0,137,0,1910,1,1
"Bergeyella",0,137,11,1899,1,1
"Berhavirus",0,137,0,1910,1,1
"Berlinvirus",0,137,0,1910,1,1
"Bermanella",0,137,0,1910,1,1
"Bernalvirus",0,137,0,1910,1,1
"Bernardetia",0,137,0,1910,1,1
"Berryella",0,137,8,1902,1,1
"Bertelyvirus",0,137,0,1910,1,1
"Besingivirus",0,137,0,1910,1,1
"Betabaculovirus",0,137,0,1910,1,1
"Betachrysovirus",0,137,0,1910,1,1
"Betacoronavirus",0,137,0,1910,1,1
"Betadintovirus",0,137,0,1910,1,1
"Betaentomopoxvirus",0,137,0,1910,1,1
"Betafusarivirus",0,137,0,1910,1,1
"Betafusellovirus",0,137,0,1910,1,1
"Betahypovirus",0,137,0,1910,1,1
"Betalipothrixvirus",0,137,0,1910,1,1
"Betanucleorhabdovirus",0,137,0,1910,1,1
"Betanudivirus",0,137,0,1910,1,1
"Betapapillomavirus",0,137,0,1910,1,1
"Betapartitivirus",2,135,71,1839,0.231643193121829,1
"Betapolyomavirus",0,137,1,1909,1,1
"Betaretrovirus",0,137,0,1910,1,1
"Betasatellite",0,137,0,1910,1,1
"Betatorquevirus",0,137,0,1910,1,1
"Betayadokarivirus",0,137,0,1910,1,1
"Bhargavaea",0,137,0,1910,1,1
"Bibersteinia",0,137,1,1909,1,1
"Bicaudavirus",0,137,0,1910,1,1
"Bifidobacterium",1,136,198,1712,1.6310777778235e-05,0.00185523932154451
"Bignuzlikevirus",0,137,0,1910,1,1
"Bignuzvirus",0,137,0,1910,1,1
"Bilophila",0,137,0,1910,1,1
"Bingvirus",0,137,0,1910,1,1
"Birpovirus",0,137,0,1910,1,1
"Bisgaardia",0,137,0,1910,1,1
"Bixzunavirus",0,137,0,1910,1,1
"Bizionia",0,137,0,1910,1,1
"Blastochloris",0,137,20,1890,0.639870275511424,1
"Blastococcus",0,137,6,1904,1,1
"Blastomonas",1,136,19,1891,1,1
"Blastopirellula",0,137,0,1910,1,1
"Blattabacterium",7,130,173,1737,0.157305957550649,1
"Blautia",1,136,164,1746,0.000140366355893227,0.011627013146489
"Blohavirus",0,137,0,1910,1,1
"Blunervirus",0,137,0,1910,1,1
"Bocaparvovirus",0,137,0,1910,1,1
"Bohxovirus",0,137,0,1910,1,1
"Bombilactobacillus",0,137,3,1907,1,1
"Bongovirus",0,137,0,1910,1,1
"Bonnellvirus",0,137,0,1910,1,1
"Bordetella",9,128,132,1778,1,1
"Bornavirus",0,137,0,1910,1,1
"Borrelia",0,137,1,1909,1,1
"Borreliella",0,137,2,1908,1,1
"Bosavirus",0,137,0,1910,1,1
"Bossavirus",0,137,0,1910,1,1
"Botrexvirus",0,137,0,1910,1,1
"Botrytimonavirus",0,137,0,1910,1,1
"Bottigliavirus",0,137,0,1910,1,1
"Boudabousia",0,137,0,1910,1,1
"Bowservirus",0,137,0,1910,1,1
