"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,64,0,1983,1,1
"Abidjanvirus",0,64,0,1983,1,1
"Abyssalbus",0,64,2,1981,1,1
"Abyssibius",0,64,0,1983,1,1
"Abyssicoccus",0,64,0,1983,1,1
"Acadianvirus",0,64,0,1983,1,1
"Acaricomes",0,64,0,1983,1,1
"Acaryochloris",0,64,0,1983,1,1
"Aceticella",0,64,0,1983,1,1
"Acetilactobacillus",0,64,0,1983,1,1
"Acetivibrio",1,63,7,1976,0.224741085427766,1
"Acetoanaerobium",0,64,4,1979,1,1
"Acetobacter",1,63,17,1966,0.436837234118333,1
"Acetobacterium",1,63,3,1980,0.119400662665352,1
"Acetohalobium",0,64,0,1983,1,1
"Acetomicrobium",0,64,2,1981,1,1
"Acetonema",0,64,0,1983,1,1
"Acholeplasma",0,64,2,1981,1,1
"Achromobacter",2,62,295,1688,0.0058264573185868,0.72393732183441
"Acidaminococcus",2,62,16,1967,0.106845623591538,1
"Acidianus",0,64,0,1983,1,1
"Acidibacillus",0,64,0,1983,1,1
"Acidibrevibacterium",0,64,1,1982,1,1
"Acididesulfobacillus",0,64,0,1983,1,1
"Acidiferrobacter",0,64,9,1974,1,1
"Acidihalobacter",0,64,1,1982,1,1
"Acidilobus",0,64,0,1983,1,1
"Acidilutibacter",0,64,3,1980,1,1
"Acidimicrobium",0,64,0,1983,1,1
"Acidiphilium",0,64,14,1969,1,1
"Acidiplasma",0,64,0,1983,1,1
"Acidipropionibacterium",1,63,3,1980,0.119400662665352,1
"Acidisarcina",0,64,0,1983,1,1
"Acidisoma",0,64,3,1980,1,1
"Acidithiobacillus",0,64,16,1967,1,1
"Acidithrix",0,64,0,1983,1,1
"Acidobacterium",0,64,0,1983,1,1
"Acidocella",0,64,2,1981,1,1
"Acidothermus",0,64,21,1962,1,1
"Aciduliprofundum",0,64,0,1983,1,1
"Actibacterium",1,63,0,1983,0.0312652662432828,1
"Actinacidiphila",0,64,0,1983,1,1
"Actinoalloteichus",0,64,6,1977,1,1
"Actinobacillus",1,63,12,1971,0.339113294571611,1
"Actinobaculum",0,64,0,1983,1,1
"Actinocatenispora",1,63,16,1967,0.418504366866845,1
"Actinokineospora",0,64,1,1982,1,1
"Actinomadura",1,63,41,1942,1,1
"Actinomarinicola",1,63,1,1982,0.0615678190098663,1
"Actinomyces",7,57,332,1651,0.303511298885831,1
"Actinomycetospora",0,64,0,1983,1,1
"Actinoplanes",0,64,30,1953,1,1
"Actinopolymorpha",0,64,0,1983,1,1
"Actinopolyspora",0,64,2,1981,1,1
"Actinospica",0,64,0,1983,1,1
"Actinosynnema",0,64,10,1973,1,1
"Actinotalea",0,64,0,1983,1,1
"Actinotignum",1,63,20,1963,0.488489533551156,1
"Actinovirus",0,64,0,1983,1,1
"Acuticoccus",1,63,2,1981,0.0909368457010002,1
"Adhaeretor",0,64,0,1983,1,1
"Adhaeribacter",0,64,3,1980,1,1
"Adlercreutzia",1,63,19,1964,0.471812676774424,1
"Advenella",0,64,2,1981,1,1
"Aegicerativicinus",0,64,0,1983,1,1
"Aeoliella",0,64,0,1983,1,1
"Aequoribacter",0,64,2,1981,1,1
"Aequorivita",1,63,1,1982,0.0615678190098663,1
"Aeribacillus",0,64,0,1983,1,1
"Aerococcus",1,63,16,1967,0.418504366866845,1
"Aeromonas",3,61,405,1578,0.000711283423704616,0.141403144632478
"Aeropyrum",0,64,0,1983,1,1
"Aerosticca",0,64,5,1978,1,1
"Aestuariibacter",0,64,0,1983,1,1
"Aestuariimicrobium",0,64,0,1983,1,1
"Aestuariispira",1,63,1,1982,0.0615678190098663,1
"Aestuariivita",0,64,0,1983,1,1
"Afifella",0,64,0,1983,1,1
"Afonbuvirus",0,64,4,1979,1,1
"Agarilytica",0,64,0,1983,1,1
"Agarivorans",0,64,0,1983,1,1
"Ageyesisatellite",0,64,0,1983,1,1
"Aggregatibacter",1,63,103,1880,0.255557106692785,1
"Aggregatimonas",1,63,0,1983,0.0312652662432828,1
"Agreia",0,64,0,1983,1,1
"Agricanvirus",0,64,0,1983,1,1
"Agrobacterium",6,58,147,1836,0.473544069494625,1
"Agrococcus",0,64,5,1978,1,1
"Agromyces",0,64,24,1959,1,1
"Agtrevirus",0,64,0,1983,1,1
"Ahjdlikevirus",0,64,0,1983,1,1
"Ahniella",0,64,0,1983,1,1
"Ahrensia",0,64,0,1983,1,1
"Ahtivirus",0,64,0,1983,1,1
"Akkermansia",2,62,95,1888,0.766945927630426,1
"Alcaligenes",1,63,90,1893,0.363975438746022,1
"Alcanivorax",0,64,0,1983,1,1
"Alcyoneusvirus",0,64,0,1983,1,1
"Alexandravirus",0,64,0,1983,1,1
"Alfamovirus",0,64,0,1983,1,1
"Algibacter",0,64,0,1983,1,1
"Algicella",0,64,0,1983,1,1
"Algicola",0,64,0,1983,1,1
"Algiphilus",0,64,0,1983,1,1
"Algoriphagus",0,64,3,1980,1,1
"Aliagarivorans",0,64,0,1983,1,1
"Aliamphritea",0,64,0,1983,1,1
"Aliarcobacter",0,64,8,1975,1,1
"Alicycliphilus",0,64,91,1892,0.113606456044985,1
"Alicyclobacillus",1,63,6,1977,0.19963148495579,1
"Aliiglaciecola",0,64,0,1983,1,1
"Aliihoeflea",0,64,0,1983,1,1
"Aliiroseovarius",0,64,1,1982,1,1
"Aliivibrio",0,64,0,1983,1,1
