"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,189,0,1858,1,1
"Abidjanvirus",0,189,0,1858,1,1
"Abyssalbus",0,189,2,1856,1,1
"Abyssibius",0,189,0,1858,1,1
"Abyssicoccus",0,189,0,1858,1,1
"Acadianvirus",0,189,0,1858,1,1
"Acaricomes",0,189,0,1858,1,1
"Acaryochloris",0,189,0,1858,1,1
"Aceticella",0,189,0,1858,1,1
"Acetilactobacillus",0,189,0,1858,1,1
"Acetivibrio",0,189,8,1850,1,1
"Acetoanaerobium",0,189,4,1854,1,1
"Acetobacter",0,189,18,1840,0.40113482880854,1
"Acetobacterium",0,189,4,1854,1,1
"Acetohalobium",0,189,0,1858,1,1
"Acetomicrobium",0,189,2,1856,1,1
"Acetonema",0,189,0,1858,1,1
"Acholeplasma",0,189,2,1856,1,1
"Achromobacter",36,153,261,1597,0.0658233441786611,1
"Acidaminococcus",11,178,7,1851,5.63150636734815e-08,2.23908693165762e-06
"Acidianus",0,189,0,1858,1,1
"Acidibacillus",0,189,0,1858,1,1
"Acidibrevibacterium",0,189,1,1857,1,1
"Acididesulfobacillus",0,189,0,1858,1,1
"Acidiferrobacter",0,189,9,1849,1,1
"Acidihalobacter",0,189,1,1857,1,1
"Acidilobus",0,189,0,1858,1,1
"Acidilutibacter",0,189,3,1855,1,1
"Acidimicrobium",0,189,0,1858,1,1
"Acidiphilium",0,189,14,1844,0.632200982093949,1
"Acidiplasma",0,189,0,1858,1,1
"Acidipropionibacterium",0,189,4,1854,1,1
"Acidisarcina",0,189,0,1858,1,1
"Acidisoma",0,189,3,1855,1,1
"Acidithiobacillus",0,189,16,1842,0.389120784371896,1
"Acidithrix",0,189,0,1858,1,1
"Acidobacterium",0,189,0,1858,1,1
"Acidocella",0,189,2,1856,1,1
"Acidothermus",0,189,21,1837,0.251070848457792,1
"Aciduliprofundum",0,189,0,1858,1,1
"Actibacterium",0,189,1,1857,1,1
"Actinacidiphila",0,189,0,1858,1,1
"Actinoalloteichus",0,189,6,1852,1,1
"Actinobacillus",1,188,12,1846,1,1
"Actinobaculum",0,189,0,1858,1,1
"Actinocatenispora",0,189,17,1841,0.393859301830356,1
"Actinokineospora",0,189,1,1857,1,1
"Actinomadura",7,182,35,1823,0.102400269110427,1
"Actinomarinicola",0,189,2,1856,1,1
"Actinomyces",19,170,320,1538,0.010082404017799,0.209693127884476
"Actinomycetospora",0,189,0,1858,1,1
"Actinoplanes",0,189,30,1828,0.105502017204488,1
"Actinopolymorpha",0,189,0,1858,1,1
"Actinopolyspora",0,189,2,1856,1,1
"Actinospica",0,189,0,1858,1,1
"Actinosynnema",0,189,10,1848,0.612894604830196,1
"Actinotalea",0,189,0,1858,1,1
"Actinotignum",2,187,19,1839,1,1
"Actinovirus",0,189,0,1858,1,1
"Acuticoccus",0,189,3,1855,1,1
"Adhaeretor",0,189,0,1858,1,1
"Adhaeribacter",0,189,3,1855,1,1
"Adlercreutzia",14,175,6,1852,4.89784148688527e-11,2.43422721898198e-09
"Advenella",0,189,2,1856,1,1
"Aegicerativicinus",0,189,0,1858,1,1
"Aeoliella",0,189,0,1858,1,1
"Aequoribacter",0,189,2,1856,1,1
"Aequorivita",0,189,2,1856,1,1
"Aeribacillus",0,189,0,1858,1,1
"Aerococcus",1,188,16,1842,1,1
"Aeromonas",68,121,340,1518,5.54690741822412e-08,2.23908693165762e-06
"Aeropyrum",0,189,0,1858,1,1
"Aerosticca",0,189,5,1853,1,1
"Aestuariibacter",0,189,0,1858,1,1
"Aestuariimicrobium",0,189,0,1858,1,1
"Aestuariispira",0,189,2,1856,1,1
"Aestuariivita",0,189,0,1858,1,1
"Afifella",0,189,0,1858,1,1
"Afonbuvirus",4,185,0,1858,7.05954203229499e-05,0.0021264196303337
"Agarilytica",0,189,0,1858,1,1
"Agarivorans",0,189,0,1858,1,1
"Ageyesisatellite",0,189,0,1858,1,1
"Aggregatibacter",11,178,93,1765,0.601775432450407,1
"Aggregatimonas",0,189,1,1857,1,1
"Agreia",0,189,0,1858,1,1
"Agricanvirus",0,189,0,1858,1,1
"Agrobacterium",4,185,149,1709,0.00130055859173117,0.0331475702610457
"Agrococcus",0,189,5,1853,1,1
"Agromyces",0,189,24,1834,0.159973226524989,1
"Agtrevirus",0,189,0,1858,1,1
"Ahjdlikevirus",0,189,0,1858,1,1
"Ahniella",0,189,0,1858,1,1
"Ahrensia",0,189,0,1858,1,1
"Ahtivirus",0,189,0,1858,1,1
"Akkermansia",74,115,23,1835,1.79668886626173e-62,2.55129819009165e-60
"Alcaligenes",0,189,91,1767,0.000257612421959145,0.00753137492433499
"Alcanivorax",0,189,0,1858,1,1
"Alcyoneusvirus",0,189,0,1858,1,1
"Alexandravirus",0,189,0,1858,1,1
"Alfamovirus",0,189,0,1858,1,1
"Algibacter",0,189,0,1858,1,1
"Algicella",0,189,0,1858,1,1
"Algicola",0,189,0,1858,1,1
"Algiphilus",0,189,0,1858,1,1
"Algoriphagus",0,189,3,1855,1,1
"Aliagarivorans",0,189,0,1858,1,1
"Aliamphritea",0,189,0,1858,1,1
"Aliarcobacter",1,188,7,1851,0.539937222442155,1
"Alicycliphilus",28,161,63,1795,2.12583171264517e-09,9.60489419258774e-08
"Alicyclobacillus",0,189,7,1851,1,1
"Aliiglaciecola",0,189,0,1858,1,1
"Aliihoeflea",0,189,0,1858,1,1
"Aliiroseovarius",0,189,1,1857,1,1
"Aliivibrio",0,189,0,1858,1,1
"Alishewanella",0,189,0,1858,1,1
"Alistipes",134,55,61,1797,2.99224193481784e-115,1.48714424160447e-112
"Aliterella",0,189,0,1858,1,1
"Alkalibacter",0,189,3,1855,1,1
"Alkalibacterium",0,189,0,1858,1,1
"Alkalicella",0,189,2,1856,1,1
"Alkaliflexus",0,189,4,1854,1,1
"Alkalihalobacillus",0,189,0,1858,1,1
"Alkalihalophilus",0,189,0,1858,1,1
"Alkalilimnicola",0,189,1,1857,1,1
"Alkalimarinus",0,189,0,1858,1,1
"Alkaliphilus",0,189,2,1856,1,1
"Alkalitalea",0,189,0,1858,1,1
"Alkanindiges",0,189,0,1858,1,1
"Allexivirus",0,189,0,1858,1,1
"Alloacidobacterium",0,189,3,1855,1,1
"Alloactinosynnema",0,189,1,1857,1,1
"Alloalcanivorax",0,189,5,1853,1,1
"Allobacillus",0,189,1,1857,1,1
"Allobaculum",0,189,0,1858,1,1
"Allobranchiibius",0,189,23,1835,0.262688350131382,1
"Allochromatium",0,189,3,1855,1,1
"Allocoleopsis",0,189,2,1856,1,1
"Allofrancisella",0,189,0,1858,1,1
"Allofustis",0,189,0,1858,1,1
"Alloiococcus",0,189,0,1858,1,1
"Allokutzneria",0,189,0,1858,1,1
"Allolevivirus",0,189,0,1858,1,1
"Allomeiothermus",0,189,0,1858,1,1
"Alloprevotella",0,189,0,1858,1,1
"Allorhizobium",0,189,1,1857,1,1
"Allosaccharopolyspora",0,189,0,1858,1,1
"Allosalinactinospora",0,189,0,1858,1,1
"Alloscardovia",0,189,0,1858,1,1
"Alphabaculovirus",0,189,1,1857,1,1
"Alphachrysovirus",0,189,0,1858,1,1
"Alphacoronavirus",0,189,0,1858,1,1
"Alphadrosrhavirus",0,189,0,1858,1,1
"Alphaendornavirus",0,189,0,1858,1,1
"Alphaentomopoxvirus",0,189,0,1858,1,1
"Alphafusarivirus",0,189,0,1858,1,1
"Alphafusellovirus",0,189,0,1858,1,1
"Alphahypovirus",0,189,0,1858,1,1
"Alphamesonivirus",0,189,0,1858,1,1
"Alphamononivirus",0,189,0,1858,1,1
"Alphanemrhavirus",0,189,0,1858,1,1
"Alphanudivirus",0,189,0,1858,1,1
"Alphapapillomavirus",0,189,13,1845,0.623690542041797,1
"Alphapartitivirus",0,189,6,1852,1,1
"Alphapolyomavirus",0,189,0,1858,1,1
"Alphaportoglobovirus",0,189,0,1858,1,1
"Alpharetrovirus",0,189,0,1858,1,1
"Alphasphaerolipovirus",0,189,0,1858,1,1
"Alphatorquevirus",1,188,1,1857,0.176176566235977,1
"Alphatrevirus",4,185,2,1856,0.000911268329775013,0.0244811005350368
"Alphaturrivirus",0,189,0,1858,1,1
"Alphavirus",0,189,0,1858,1,1
"Alteracholeplasma",0,189,2,1856,1,1
"Altererythrobacter",0,189,23,1835,0.262688350131382,1
"Alternavirus",1,188,0,1858,0.0923302393746947,1
"Alteromonas",3,186,15,1843,0.227602770284388,1
"Altibacter",0,189,0,1858,1,1
"Alysiella",0,189,3,1855,1,1
"Amantichitinum",0,189,0,1858,1,1
"Ambidensovirus",0,189,0,1858,1,1
"Amdoparvovirus",0,189,0,1858,1,1
"Amedibacterium",5,184,0,1858,6.39263473311098e-06,0.00021911306636939
"Amigovirus",0,189,0,1858,1,1
"Aminiphilus",0,189,0,1858,1,1
"Aminipila",2,187,9,1849,0.269913692521154,1
"Aminithiophilus",2,187,3,1855,0.070356675239813,1
"Aminobacter",0,189,68,1790,0.00216724296703209,0.0538559877307474
"Aminobacterium",0,189,3,1855,1,1
"Aminomonas",0,189,0,1858,1,1
"Ammonifex",0,189,0,1858,1,1
"Amniculibacterium",0,189,2,1856,1,1
"Amorphus",0,189,0,1858,1,1
"Amoyvirus",0,189,0,1858,1,1
"Ampelovirus",0,189,0,1858,1,1
"Amphibacillus",0,189,1,1857,1,1
"Amphritea",0,189,0,1858,1,1
"Ampullavirus",0,189,0,1858,1,1
"Amycolatopsis",0,189,45,1813,0.0185486154502332,0.361516152108466
"Amycolicicoccus",0,189,0,1858,1,1
"Amylibacter",0,189,2,1856,1,1
"Amylolactobacillus",0,189,0,1858,1,1
"Anabaena",0,189,6,1852,1,1
"Anaeroarcus",0,189,0,1858,1,1
"Anaerobacillus",0,189,0,1858,1,1
"Anaerobaculum",0,189,0,1858,1,1
"Anaerobutyricum",56,133,8,1850,7.10639615968592e-53,7.84861975858645e-51
"Anaerococcus",14,175,49,1809,0.00129101802254913,0.0331475702610457
"Anaerocolumna",7,182,17,1841,0.00454281331854601,0.105012940433366
"Anaerofustis",0,189,0,1858,1,1
"Anaerohalosphaera",0,189,0,1858,1,1
"Anaerolinea",0,189,1,1857,1,1
"Anaeromicropila",2,187,7,1851,0.198782283909804,1
"Anaeromusa",0,189,0,1858,1,1
"Anaeromyxobacter",2,187,36,1822,0.573591914244646,1
"Anaeropeptidivorans",0,189,2,1856,1,1
"Anaerophaga",0,189,0,1858,1,1
"Anaerosalibacter",0,189,0,1858,1,1
"Anaerosporomusa",0,189,0,1858,1,1
"Anaerostipes",77,112,18,1840,4.74930640528924e-69,7.86801761142917e-67
"Anaerotignum",6,183,2,1856,1.37464028340579e-05,0.000455464147235119
"Anaerotruncus",51,138,5,1853,5.03892869615282e-50,5.0086951239759e-48
"Anaerovibrio",0,189,0,1858,1,1
"Anaerovorax",0,189,0,1858,1,1
"Anaplasma",0,189,0,1858,1,1
"Anaposvirus",0,189,0,1858,1,1
"Anatilimnocola",0,189,0,1858,1,1
"Anativirus",0,189,0,1858,1,1
"Anayavirus",0,189,0,1858,1,1
"Ancylobacter",0,189,44,1814,0.0298964833124319,0.540310989319224
"Andhravirus",0,189,1,1857,1,1
"Anditalea",0,189,0,1858,1,1
"Andreprevotia",0,189,0,1858,1,1
"Andromedalikevirus",0,189,0,1858,1,1
"Andromedavirus",0,189,0,1858,1,1
"Aneurinibacillus",0,189,2,1856,1,1
"Angelvirus",0,189,0,1858,1,1
"Angustibacter",0,189,0,1858,1,1
"Annadreamyvirus",0,189,0,1858,1,1
"Anoxybacillus",0,189,3,1855,1,1
"Anoxybacter",0,189,0,1858,1,1
"Anphevirus",0,189,0,1858,1,1
"Anseongella",0,189,3,1855,1,1
"Antarcticibacterium",0,189,1,1857,1,1
"Antarctobacter",0,189,11,1847,0.613483719570023,1
"Antennavirus",0,189,0,1858,1,1
"Anthocerotibacter",0,189,1,1857,1,1
"Anulavirus",0,189,0,1858,1,1
"Aokuangvirus",0,189,0,1858,1,1
"Aparavirus",0,189,0,1858,1,1
"Aphanizomenon",0,189,0,1858,1,1
"Aphanocapsa",0,189,0,1858,1,1
"Aphthovirus",0,189,0,1858,1,1
"Apibacter",1,188,1,1857,0.176176566235977,1
"Apilactobacillus",0,189,2,1856,1,1
"Apscaviroid",0,189,0,1858,1,1
"Aptresvirus",0,189,0,1858,1,1
"Aqualcavirus",0,189,0,1858,1,1
"Aquamavirus",0,189,0,1858,1,1
"Aquamicrobium",0,189,0,1858,1,1
"Aquaparamyxovirus",0,189,0,1858,1,1
"Aquareovirus",0,189,0,1858,1,1
"Aquaspirillum",0,189,3,1855,1,1
"Aquella",0,189,0,1858,1,1
"Aquibium",0,189,42,1816,0.0285468881702045,0.525474200762653
"Aquicella",0,189,0,1858,1,1
"Aquifex",0,189,0,1858,1,1
"Aquihabitans",0,189,6,1852,1,1
"Aquiluna",0,189,0,1858,1,1
"Aquimarina",0,189,1,1857,1,1
"Aquincola",6,183,45,1813,0.464847874501184,1
"Aquirhabdus",0,189,1,1857,1,1
"Aquirufa",0,189,0,1858,1,1
"Aquisalimonas",0,189,2,1856,1,1
"Aquisediminimonas",0,189,11,1847,0.613483719570023,1
"Aquisphaera",0,189,9,1849,1,1
"Aquitalea",0,189,13,1845,0.623690542041797,1
"Arachidicoccus",0,189,1,1857,1,1
