"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,170,0,1877,1,1
"Abidjanvirus",0,170,0,1877,1,1
"Abyssalbus",2,168,0,1877,0.00685981105792947,0.1366952238416
"Abyssibius",0,170,0,1877,1,1
"Abyssicoccus",0,170,0,1877,1,1
"Acadianvirus",0,170,0,1877,1,1
"Acaricomes",0,170,0,1877,1,1
"Acaryochloris",0,170,0,1877,1,1
"Aceticella",0,170,0,1877,1,1
"Acetilactobacillus",0,170,0,1877,1,1
"Acetivibrio",1,169,7,1870,0.500848904366589,1
"Acetoanaerobium",2,168,2,1875,0.0367886403337413,0.507887617940817
"Acetobacter",1,169,17,1860,1,1
"Acetobacterium",1,169,3,1874,0.293242721998994,1
"Acetohalobium",0,170,0,1877,1,1
"Acetomicrobium",0,170,2,1875,1,1
"Acetonema",0,170,0,1877,1,1
"Acholeplasma",0,170,2,1875,1,1
"Achromobacter",29,141,268,1609,0.308038904231449,1
"Acidaminococcus",0,170,18,1859,0.391969938142049,1
"Acidianus",0,170,0,1877,1,1
"Acidibacillus",0,170,0,1877,1,1
"Acidibrevibacterium",0,170,1,1876,1,1
"Acididesulfobacillus",0,170,0,1877,1,1
"Acidiferrobacter",0,170,9,1868,1,1
"Acidihalobacter",0,170,1,1876,1,1
"Acidilobus",0,170,0,1877,1,1
"Acidilutibacter",1,169,2,1875,0.229129201582681,1
"Acidimicrobium",0,170,0,1877,1,1
"Acidiphilium",4,166,10,1867,0.0237283764386647,0.362861633538964
"Acidiplasma",0,170,0,1877,1,1
"Acidipropionibacterium",1,169,3,1874,0.293242721998994,1
"Acidisarcina",0,170,0,1877,1,1
"Acidisoma",0,170,3,1874,1,1
"Acidithiobacillus",3,167,13,1864,0.141719599394967,1
"Acidithrix",0,170,0,1877,1,1
"Acidobacterium",0,170,0,1877,1,1
"Acidocella",0,170,2,1875,1,1
"Acidothermus",0,170,21,1856,0.250613292525138,1
"Aciduliprofundum",0,170,0,1877,1,1
"Actibacterium",0,170,1,1876,1,1
"Actinacidiphila",0,170,0,1877,1,1
"Actinoalloteichus",0,170,6,1871,1,1
"Actinobacillus",7,163,6,1871,2.70067643516006e-05,0.00103248937559581
"Actinobaculum",0,170,0,1877,1,1
"Actinocatenispora",1,169,16,1861,1,1
"Actinokineospora",0,170,1,1876,1,1
"Actinomadura",3,167,39,1838,1,1
"Actinomarinicola",0,170,2,1875,1,1
"Actinomyces",71,99,268,1609,1.95205093677488e-16,3.88067726230846e-14
"Actinomycetospora",0,170,0,1877,1,1
"Actinoplanes",5,165,25,1852,0.0972856202072704,0.840886143356755
"Actinopolymorpha",0,170,0,1877,1,1
"Actinopolyspora",0,170,2,1875,1,1
"Actinospica",0,170,0,1877,1,1
"Actinosynnema",0,170,10,1867,1,1
"Actinotalea",0,170,0,1877,1,1
"Actinotignum",3,167,18,1859,0.411148739241989,1
"Actinovirus",0,170,0,1877,1,1
"Acuticoccus",0,170,3,1874,1,1
"Adhaeretor",0,170,0,1877,1,1
"Adhaeribacter",2,168,1,1876,0.0194523444131702,0.316977546667068
"Adlercreutzia",1,169,19,1858,1,1
"Advenella",1,169,1,1876,0.159236915859511,1
"Aegicerativicinus",0,170,0,1877,1,1
"Aeoliella",0,170,0,1877,1,1
"Aequoribacter",0,170,2,1875,1,1
"Aequorivita",1,169,1,1876,0.159236915859511,1
"Aeribacillus",0,170,0,1877,1,1
"Aerococcus",8,162,9,1868,2.44427130371299e-05,0.000971842270356286
"Aeromonas",42,128,366,1511,0.108875368248821,0.91162847983001
"Aeropyrum",0,170,0,1877,1,1
"Aerosticca",0,170,5,1872,1,1
"Aestuariibacter",0,170,0,1877,1,1
"Aestuariimicrobium",0,170,0,1877,1,1
"Aestuariispira",0,170,2,1875,1,1
"Aestuariivita",0,170,0,1877,1,1
"Afifella",0,170,0,1877,1,1
"Afonbuvirus",0,170,4,1873,1,1
"Agarilytica",0,170,0,1877,1,1
"Agarivorans",0,170,0,1877,1,1
"Ageyesisatellite",0,170,0,1877,1,1
