"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,0,0,2047,1,1
"Abidjanvirus",0,0,0,2047,1,1
"Abyssalbus",0,0,2,2045,1,1
"Abyssibius",0,0,0,2047,1,1
"Abyssicoccus",0,0,0,2047,1,1
"Acadianvirus",0,0,0,2047,1,1
"Acaricomes",0,0,0,2047,1,1
"Acaryochloris",0,0,0,2047,1,1
"Aceticella",0,0,0,2047,1,1
"Acetilactobacillus",0,0,0,2047,1,1
"Acetivibrio",0,0,8,2039,1,1
"Acetoanaerobium",0,0,4,2043,1,1
"Acetobacter",0,0,18,2029,1,1
"Acetobacterium",0,0,4,2043,1,1
"Acetohalobium",0,0,0,2047,1,1
"Acetomicrobium",0,0,2,2045,1,1
"Acetonema",0,0,0,2047,1,1
"Acholeplasma",0,0,2,2045,1,1
"Achromobacter",0,0,297,1750,1,1
"Acidaminococcus",0,0,18,2029,1,1
"Acidianus",0,0,0,2047,1,1
"Acidibacillus",0,0,0,2047,1,1
"Acidibrevibacterium",0,0,1,2046,1,1
"Acididesulfobacillus",0,0,0,2047,1,1
"Acidiferrobacter",0,0,9,2038,1,1
"Acidihalobacter",0,0,1,2046,1,1
"Acidilobus",0,0,0,2047,1,1
"Acidilutibacter",0,0,3,2044,1,1
"Acidimicrobium",0,0,0,2047,1,1
"Acidiphilium",0,0,14,2033,1,1
"Acidiplasma",0,0,0,2047,1,1
"Acidipropionibacterium",0,0,4,2043,1,1
"Acidisarcina",0,0,0,2047,1,1
"Acidisoma",0,0,3,2044,1,1
"Acidithiobacillus",0,0,16,2031,1,1
"Acidithrix",0,0,0,2047,1,1
"Acidobacterium",0,0,0,2047,1,1
"Acidocella",0,0,2,2045,1,1
"Acidothermus",0,0,21,2026,1,1
"Aciduliprofundum",0,0,0,2047,1,1
"Actibacterium",0,0,1,2046,1,1
"Actinacidiphila",0,0,0,2047,1,1
"Actinoalloteichus",0,0,6,2041,1,1
"Actinobacillus",0,0,13,2034,1,1
"Actinobaculum",0,0,0,2047,1,1
"Actinocatenispora",0,0,17,2030,1,1
"Actinokineospora",0,0,1,2046,1,1
"Actinomadura",0,0,42,2005,1,1
"Actinomarinicola",0,0,2,2045,1,1
"Actinomyces",0,0,339,1708,1,1
"Actinomycetospora",0,0,0,2047,1,1
"Actinoplanes",0,0,30,2017,1,1
"Actinopolymorpha",0,0,0,2047,1,1
"Actinopolyspora",0,0,2,2045,1,1
"Actinospica",0,0,0,2047,1,1
"Actinosynnema",0,0,10,2037,1,1
"Actinotalea",0,0,0,2047,1,1
"Actinotignum",0,0,21,2026,1,1
"Actinovirus",0,0,0,2047,1,1
"Acuticoccus",0,0,3,2044,1,1
"Adhaeretor",0,0,0,2047,1,1
"Adhaeribacter",0,0,3,2044,1,1
"Adlercreutzia",0,0,20,2027,1,1
"Advenella",0,0,2,2045,1,1
"Aegicerativicinus",0,0,0,2047,1,1
"Aeoliella",0,0,0,2047,1,1
"Aequoribacter",0,0,2,2045,1,1
"Aequorivita",0,0,2,2045,1,1
"Aeribacillus",0,0,0,2047,1,1
"Aerococcus",0,0,17,2030,1,1
"Aeromonas",0,0,408,1639,1,1
"Aeropyrum",0,0,0,2047,1,1
"Aerosticca",0,0,5,2042,1,1
"Aestuariibacter",0,0,0,2047,1,1
"Aestuariimicrobium",0,0,0,2047,1,1
"Aestuariispira",0,0,2,2045,1,1
"Aestuariivita",0,0,0,2047,1,1
"Afifella",0,0,0,2047,1,1
"Afonbuvirus",0,0,4,2043,1,1
"Agarilytica",0,0,0,2047,1,1
"Agarivorans",0,0,0,2047,1,1
"Ageyesisatellite",0,0,0,2047,1,1
"Aggregatibacter",0,0,104,1943,1,1
"Aggregatimonas",0,0,1,2046,1,1
"Agreia",0,0,0,2047,1,1
"Agricanvirus",0,0,0,2047,1,1
"Agrobacterium",0,0,153,1894,1,1
"Agrococcus",0,0,5,2042,1,1
"Agromyces",0,0,24,2023,1,1
"Agtrevirus",0,0,0,2047,1,1
"Ahjdlikevirus",0,0,0,2047,1,1
"Ahniella",0,0,0,2047,1,1
"Ahrensia",0,0,0,2047,1,1
"Ahtivirus",0,0,0,2047,1,1
"Akkermansia",0,0,97,1950,1,1
"Alcaligenes",0,0,91,1956,1,1
"Alcanivorax",0,0,0,2047,1,1
"Alcyoneusvirus",0,0,0,2047,1,1
"Alexandravirus",0,0,0,2047,1,1
"Alfamovirus",0,0,0,2047,1,1
"Algibacter",0,0,0,2047,1,1
"Algicella",0,0,0,2047,1,1
"Algicola",0,0,0,2047,1,1
"Algiphilus",0,0,0,2047,1,1
"Algoriphagus",0,0,3,2044,1,1
"Aliagarivorans",0,0,0,2047,1,1
"Aliamphritea",0,0,0,2047,1,1
"Aliarcobacter",0,0,8,2039,1,1
"Alicycliphilus",0,0,91,1956,1,1
"Alicyclobacillus",0,0,7,2040,1,1
"Aliiglaciecola",0,0,0,2047,1,1
"Aliihoeflea",0,0,0,2047,1,1
"Aliiroseovarius",0,0,1,2046,1,1
"Aliivibrio",0,0,0,2047,1,1
"Alishewanella",0,0,0,2047,1,1
"Alistipes",0,0,195,1852,1,1
"Aliterella",0,0,0,2047,1,1
"Alkalibacter",0,0,3,2044,1,1
"Alkalibacterium",0,0,0,2047,1,1
"Alkalicella",0,0,2,2045,1,1
"Alkaliflexus",0,0,4,2043,1,1
"Alkalihalobacillus",0,0,0,2047,1,1
"Alkalihalophilus",0,0,0,2047,1,1
"Alkalilimnicola",0,0,1,2046,1,1
"Alkalimarinus",0,0,0,2047,1,1
"Alkaliphilus",0,0,2,2045,1,1
"Alkalitalea",0,0,0,2047,1,1
"Alkanindiges",0,0,0,2047,1,1
"Allexivirus",0,0,0,2047,1,1
"Alloacidobacterium",0,0,3,2044,1,1
"Alloactinosynnema",0,0,1,2046,1,1
"Alloalcanivorax",0,0,5,2042,1,1
"Allobacillus",0,0,1,2046,1,1
"Allobaculum",0,0,0,2047,1,1
"Allobranchiibius",0,0,23,2024,1,1
"Allochromatium",0,0,3,2044,1,1
"Allocoleopsis",0,0,2,2045,1,1
"Allofrancisella",0,0,0,2047,1,1
"Allofustis",0,0,0,2047,1,1
"Alloiococcus",0,0,0,2047,1,1
"Allokutzneria",0,0,0,2047,1,1
"Allolevivirus",0,0,0,2047,1,1
"Allomeiothermus",0,0,0,2047,1,1
"Alloprevotella",0,0,0,2047,1,1
"Allorhizobium",0,0,1,2046,1,1
"Allosaccharopolyspora",0,0,0,2047,1,1
"Allosalinactinospora",0,0,0,2047,1,1
"Alloscardovia",0,0,0,2047,1,1
