"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,136,0,1911,1,1
"Abidjanvirus",0,136,0,1911,1,1
"Abyssalbus",0,136,2,1909,1,1
"Abyssibius",0,136,0,1911,1,1
"Abyssicoccus",0,136,0,1911,1,1
"Acadianvirus",0,136,0,1911,1,1
"Acaricomes",0,136,0,1911,1,1
"Acaryochloris",0,136,0,1911,1,1
"Aceticella",0,136,0,1911,1,1
"Acetilactobacillus",0,136,0,1911,1,1
"Acetivibrio",0,136,8,1903,1,1
"Acetoanaerobium",0,136,4,1907,1,1
"Acetobacter",0,136,18,1893,0.627025806544891,1
"Acetobacterium",0,136,4,1907,1,1
"Acetohalobium",0,136,0,1911,1,1
"Acetomicrobium",0,136,2,1909,1,1
"Acetonema",0,136,0,1911,1,1
"Acholeplasma",0,136,2,1909,1,1
"Achromobacter",7,129,290,1621,0.000587125572758114,0.0389068546214377
"Acidaminococcus",0,136,18,1893,0.627025806544891,1
"Acidianus",0,136,0,1911,1,1
"Acidibacillus",0,136,0,1911,1,1
"Acidibrevibacterium",0,136,1,1910,1,1
"Acididesulfobacillus",0,136,0,1911,1,1
"Acidiferrobacter",0,136,9,1902,1,1
"Acidihalobacter",0,136,1,1910,1,1
"Acidilobus",0,136,0,1911,1,1
"Acidilutibacter",0,136,3,1908,1,1
"Acidimicrobium",0,136,0,1911,1,1
"Acidiphilium",0,136,14,1897,0.618064285029085,1
"Acidiplasma",0,136,0,1911,1,1
"Acidipropionibacterium",0,136,4,1907,1,1
"Acidisarcina",0,136,0,1911,1,1
"Acidisoma",0,136,3,1908,1,1
"Acidithiobacillus",0,136,16,1895,0.619561312204899,1
"Acidithrix",0,136,0,1911,1,1
"Acidobacterium",0,136,0,1911,1,1
"Acidocella",0,136,2,1909,1,1
"Acidothermus",0,136,21,1890,0.39359129654269,1
"Aciduliprofundum",0,136,0,1911,1,1
"Actibacterium",0,136,1,1910,1,1
"Actinacidiphila",0,136,0,1911,1,1
"Actinoalloteichus",0,136,6,1905,1,1
"Actinobacillus",1,135,12,1899,0.591986741464895,1
"Actinobaculum",0,136,0,1911,1,1
"Actinocatenispora",0,136,17,1894,0.622652025325834,1
"Actinokineospora",0,136,1,1910,1,1
"Actinomadura",0,136,42,1869,0.109833995288443,1
"Actinomarinicola",0,136,2,1909,1,1
"Actinomyces",1,135,338,1573,4.71438613928952e-10,7.81016637075631e-08
"Actinomycetospora",0,136,0,1911,1,1
"Actinoplanes",0,136,30,1881,0.259029230010058,1
"Actinopolymorpha",0,136,0,1911,1,1
"Actinopolyspora",0,136,2,1909,1,1
"Actinospica",0,136,0,1911,1,1
"Actinosynnema",0,136,10,1901,1,1
"Actinotalea",0,136,0,1911,1,1
"Actinotignum",0,136,21,1890,0.39359129654269,1
"Actinovirus",0,136,0,1911,1,1
"Acuticoccus",0,136,3,1908,1,1
"Adhaeretor",0,136,0,1911,1,1
"Adhaeribacter",0,136,3,1908,1,1
"Adlercreutzia",0,136,20,1891,0.638908832905036,1
"Advenella",0,136,2,1909,1,1
"Aegicerativicinus",0,136,0,1911,1,1
"Aeoliella",0,136,0,1911,1,1
"Aequoribacter",0,136,2,1909,1,1
"Aequorivita",0,136,2,1909,1,1
"Aeribacillus",0,136,0,1911,1,1
"Aerococcus",0,136,17,1894,0.622652025325834,1
"Aeromonas",15,121,393,1518,0.00542697239434861,0.245200479999205
"Aeropyrum",0,136,0,1911,1,1
"Aerosticca",0,136,5,1906,1,1
"Aestuariibacter",0,136,0,1911,1,1
"Aestuariimicrobium",0,136,0,1911,1,1
"Aestuariispira",0,136,2,1909,1,1
"Aestuariivita",0,136,0,1911,1,1
"Afifella",0,136,0,1911,1,1
"Afonbuvirus",0,136,4,1907,1,1
"Agarilytica",0,136,0,1911,1,1
"Agarivorans",0,136,0,1911,1,1
"Ageyesisatellite",0,136,0,1911,1,1
"Aggregatibacter",1,135,103,1808,0.0130898822453547,0.488170967584785
"Aggregatimonas",0,136,1,1910,1,1
"Agreia",0,136,0,1911,1,1
"Agricanvirus",0,136,0,1911,1,1
"Agrobacterium",0,136,153,1758,2.85812041820775e-05,0.002185362842845
"Agrococcus",0,136,5,1906,1,1
"Agromyces",0,136,24,1887,0.400910615037132,1
"Agtrevirus",0,136,0,1911,1,1
"Ahjdlikevirus",0,136,0,1911,1,1
"Ahniella",0,136,0,1911,1,1
"Ahrensia",0,136,0,1911,1,1
"Ahtivirus",0,136,0,1911,1,1
"Akkermansia",0,136,97,1814,0.00245421195287634,0.128394035850478
"Alcaligenes",5,131,86,1825,0.830059426527025,1
"Alcanivorax",0,136,0,1911,1,1
"Alcyoneusvirus",0,136,0,1911,1,1
"Alexandravirus",0,136,0,1911,1,1
"Alfamovirus",0,136,0,1911,1,1
"Algibacter",0,136,0,1911,1,1
"Algicella",0,136,0,1911,1,1
"Algicola",0,136,0,1911,1,1
"Algiphilus",0,136,0,1911,1,1
"Algoriphagus",0,136,3,1908,1,1
"Aliagarivorans",0,136,0,1911,1,1
"Aliamphritea",0,136,0,1911,1,1
"Aliarcobacter",0,136,8,1903,1,1
"Alicycliphilus",0,136,91,1820,0.0037643014999838,0.1781769376659
"Alicyclobacillus",0,136,7,1904,1,1
"Aliiglaciecola",0,136,0,1911,1,1
"Aliihoeflea",0,136,0,1911,1,1
"Aliiroseovarius",0,136,1,1910,1,1
"Aliivibrio",0,136,0,1911,1,1
"Alishewanella",0,136,0,1911,1,1
"Alistipes",0,136,195,1716,1.16605361483773e-06,0.000144882161643587
"Aliterella",0,136,0,1911,1,1
"Alkalibacter",0,136,3,1908,1,1
"Alkalibacterium",0,136,0,1911,1,1
"Alkalicella",0,136,2,1909,1,1
"Alkaliflexus",0,136,4,1907,1,1
"Alkalihalobacillus",0,136,0,1911,1,1
"Alkalihalophilus",0,136,0,1911,1,1
"Alkalilimnicola",0,136,1,1910,1,1
"Alkalimarinus",0,136,0,1911,1,1
"Alkaliphilus",0,136,2,1909,1,1
"Alkalitalea",0,136,0,1911,1,1
"Alkanindiges",0,136,0,1911,1,1
"Allexivirus",0,136,0,1911,1,1
"Alloacidobacterium",0,136,3,1908,1,1
"Alloactinosynnema",0,136,1,1910,1,1
"Alloalcanivorax",0,136,5,1906,1,1
"Allobacillus",0,136,1,1910,1,1
"Allobaculum",0,136,0,1911,1,1
"Allobranchiibius",0,136,23,1888,0.397047741658377,1
"Allochromatium",0,136,3,1908,1,1
"Allocoleopsis",0,136,2,1909,1,1
"Allofrancisella",0,136,0,1911,1,1
"Allofustis",0,136,0,1911,1,1
"Alloiococcus",0,136,0,1911,1,1
"Allokutzneria",0,136,0,1911,1,1
"Allolevivirus",0,136,0,1911,1,1
"Allomeiothermus",0,136,0,1911,1,1
"Alloprevotella",0,136,0,1911,1,1
"Allorhizobium",0,136,1,1910,1,1
"Allosaccharopolyspora",0,136,0,1911,1,1
"Allosalinactinospora",0,136,0,1911,1,1
"Alloscardovia",0,136,0,1911,1,1
"Alphabaculovirus",0,136,1,1910,1,1
"Alphachrysovirus",0,136,0,1911,1,1
"Alphacoronavirus",0,136,0,1911,1,1
"Alphadrosrhavirus",0,136,0,1911,1,1
"Alphaendornavirus",0,136,0,1911,1,1
"Alphaentomopoxvirus",0,136,0,1911,1,1
"Alphafusarivirus",0,136,0,1911,1,1
"Alphafusellovirus",0,136,0,1911,1,1
"Alphahypovirus",0,136,0,1911,1,1
"Alphamesonivirus",0,136,0,1911,1,1
"Alphamononivirus",0,136,0,1911,1,1
"Alphanemrhavirus",0,136,0,1911,1,1
"Alphanudivirus",0,136,0,1911,1,1
"Alphapapillomavirus",0,136,13,1898,1,1
"Alphapartitivirus",0,136,6,1905,1,1
"Alphapolyomavirus",0,136,0,1911,1,1
"Alphaportoglobovirus",0,136,0,1911,1,1
"Alpharetrovirus",0,136,0,1911,1,1
"Alphasphaerolipovirus",0,136,0,1911,1,1
"Alphatorquevirus",0,136,2,1909,1,1
"Alphatrevirus",0,136,6,1905,1,1
"Alphaturrivirus",0,136,0,1911,1,1
"Alphavirus",0,136,0,1911,1,1
"Alteracholeplasma",0,136,2,1909,1,1
"Altererythrobacter",0,136,23,1888,0.397047741658377,1
"Alternavirus",0,136,1,1910,1,1
"Alteromonas",0,136,18,1893,0.627025806544891,1
"Altibacter",0,136,0,1911,1,1
"Alysiella",0,136,3,1908,1,1
"Amantichitinum",0,136,0,1911,1,1
"Ambidensovirus",0,136,0,1911,1,1
"Amdoparvovirus",0,136,0,1911,1,1
"Amedibacterium",0,136,5,1906,1,1
"Amigovirus",0,136,0,1911,1,1
"Aminiphilus",0,136,0,1911,1,1
"Aminipila",0,136,11,1900,1,1
"Aminithiophilus",0,136,5,1906,1,1
"Aminobacter",0,136,68,1843,0.0211639649556415,0.657405661434613
"Aminobacterium",0,136,3,1908,1,1
"Aminomonas",0,136,0,1911,1,1
"Ammonifex",0,136,0,1911,1,1
"Amniculibacterium",0,136,2,1909,1,1
"Amorphus",0,136,0,1911,1,1
"Amoyvirus",0,136,0,1911,1,1
"Ampelovirus",0,136,0,1911,1,1
