"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Aalivirus",0,149,0,1898,1,1
"Abidjanvirus",0,149,0,1898,1,1
"Abyssalbus",0,149,2,1896,1,1
"Abyssibius",0,149,0,1898,1,1
"Abyssicoccus",0,149,0,1898,1,1
"Acadianvirus",0,149,0,1898,1,1
"Acaricomes",0,149,0,1898,1,1
"Acaryochloris",0,149,0,1898,1,1
"Aceticella",0,149,0,1898,1,1
"Acetilactobacillus",0,149,0,1898,1,1
"Acetivibrio",2,147,6,1892,0.110304529933902,1
"Acetoanaerobium",1,148,3,1895,0.261052795601748,1
"Acetobacter",1,148,17,1881,1,1
"Acetobacterium",1,148,3,1895,0.261052795601748,1
"Acetohalobium",0,149,0,1898,1,1
"Acetomicrobium",2,147,0,1898,0.00526531686214621,0.239215619155341
"Acetonema",0,149,0,1898,1,1
"Acholeplasma",1,148,1,1897,0.14031357908314,1
"Achromobacter",6,143,291,1607,3.09853079581803e-05,0.00342215512338124
"Acidaminococcus",4,145,14,1884,0.0369482588758421,1
"Acidianus",0,149,0,1898,1,1
"Acidibacillus",0,149,0,1898,1,1
"Acidibrevibacterium",0,149,1,1897,1,1
"Acididesulfobacillus",0,149,0,1898,1,1
"Acidiferrobacter",1,148,8,1890,0.494170723588447,1
"Acidihalobacter",0,149,1,1897,1,1
"Acidilobus",0,149,0,1898,1,1
"Acidilutibacter",2,147,1,1897,0.0150389808272841,0.574951805473862
"Acidimicrobium",0,149,0,1898,1,1
"Acidiphilium",0,149,14,1884,0.617195126716194,1
"Acidiplasma",0,149,0,1898,1,1
"Acidipropionibacterium",1,148,3,1895,0.261052795601748,1
"Acidisarcina",0,149,0,1898,1,1
"Acidisoma",0,149,3,1895,1,1
"Acidithiobacillus",1,148,15,1883,1,1
"Acidithrix",0,149,0,1898,1,1
"Acidobacterium",0,149,0,1898,1,1
"Acidocella",0,149,2,1896,1,1
"Acidothermus",0,149,21,1877,0.395749848771205,1
"Aciduliprofundum",0,149,0,1898,1,1
"Actibacterium",0,149,1,1897,1,1
"Actinacidiphila",0,149,0,1898,1,1
"Actinoalloteichus",1,148,5,1893,0.364932490218472,1
"Actinobacillus",2,147,11,1887,0.243381925006494,1
"Actinobaculum",0,149,0,1898,1,1
"Actinocatenispora",1,148,16,1882,1,1
"Actinokineospora",0,149,1,1897,1,1
"Actinomadura",2,147,40,1858,0.765298136811587,1
"Actinomarinicola",1,148,1,1897,0.14031357908314,1
"Actinomyces",18,131,321,1577,0.137435084011767,1
"Actinomycetospora",0,149,0,1898,1,1
"Actinoplanes",2,147,28,1870,1,1
"Actinopolymorpha",0,149,0,1898,1,1
"Actinopolyspora",2,147,0,1898,0.00526531686214621,0.239215619155341
"Actinospica",0,149,0,1898,1,1
"Actinosynnema",0,149,10,1888,1,1
"Actinotalea",0,149,0,1898,1,1
"Actinotignum",0,149,21,1877,0.395749848771205,1
"Actinovirus",0,149,0,1898,1,1
"Acuticoccus",1,148,2,1896,0.202950878211067,1
"Adhaeretor",0,149,0,1898,1,1
"Adhaeribacter",0,149,3,1895,1,1
"Adlercreutzia",3,146,17,1881,0.174042313072958,1
"Advenella",0,149,2,1896,1,1
"Aegicerativicinus",0,149,0,1898,1,1
"Aeoliella",0,149,0,1898,1,1
"Aequoribacter",0,149,2,1896,1,1
"Aequorivita",0,149,2,1896,1,1
"Aeribacillus",0,149,0,1898,1,1
"Aerococcus",1,148,16,1882,1,1
"Aeromonas",23,126,385,1513,0.166997120404619,1
"Aeropyrum",0,149,0,1898,1,1
"Aerosticca",0,149,5,1893,1,1
"Aestuariibacter",0,149,0,1898,1,1
"Aestuariimicrobium",0,149,0,1898,1,1
"Aestuariispira",1,148,1,1897,0.14031357908314,1
"Aestuariivita",0,149,0,1898,1,1
"Afifella",0,149,0,1898,1,1
"Afonbuvirus",0,149,4,1894,1,1
"Agarilytica",0,149,0,1898,1,1
"Agarivorans",0,149,0,1898,1,1
"Ageyesisatellite",0,149,0,1898,1,1
"Aggregatibacter",24,125,80,1818,1.28053249442837e-07,2.12141549910299e-05
"Aggregatimonas",0,149,1,1897,1,1
"Agreia",0,149,0,1898,1,1
"Agricanvirus",0,149,0,1898,1,1
"Agrobacterium",3,146,150,1748,0.00529451068553069,0.239215619155341
"Agrococcus",0,149,5,1893,1,1
"Agromyces",1,148,23,1875,1,1
"Agtrevirus",0,149,0,1898,1,1
"Ahjdlikevirus",0,149,0,1898,1,1
"Ahniella",0,149,0,1898,1,1
"Ahrensia",0,149,0,1898,1,1
"Ahtivirus",0,149,0,1898,1,1
"Akkermansia",5,144,92,1806,0.547674453599196,1
"Alcaligenes",5,144,86,1812,0.67907232868491,1
"Alcanivorax",0,149,0,1898,1,1
"Alcyoneusvirus",0,149,0,1898,1,1
"Alexandravirus",0,149,0,1898,1,1
"Alfamovirus",0,149,0,1898,1,1
"Algibacter",0,149,0,1898,1,1
"Algicella",0,149,0,1898,1,1
"Algicola",0,149,0,1898,1,1
"Algiphilus",0,149,0,1898,1,1
"Algoriphagus",1,148,2,1896,0.202950878211067,1
"Aliagarivorans",0,149,0,1898,1,1
"Aliamphritea",0,149,0,1898,1,1
"Aliarcobacter",0,149,8,1890,1,1
"Alicycliphilus",7,142,84,1814,0.836030275203838,1
"Alicyclobacillus",4,145,3,1895,0.00079431858211348,0.0789552670620799
"Aliiglaciecola",0,149,0,1898,1,1
"Aliihoeflea",0,149,0,1898,1,1
"Aliiroseovarius",0,149,1,1897,1,1
"Aliivibrio",0,149,0,1898,1,1
"Alishewanella",0,149,0,1898,1,1
"Alistipes",10,139,185,1713,0.24929369848985,1
"Aliterella",0,149,0,1898,1,1
